Headline,Service Provider,Rating,Review Text,Place,Type,cleaned_rev,overall_sentiment,positive_score,neutral_score,negative_score,positive_aspects,negative_aspects
Good for health,STAR HEALTH & ALLIED INSURANCE,5,"My company provided Star Health plan, they give 100% of medical cover. They are providing pre existing disease and also the service is very good. They got tie up many minor and major hospitals. Its covers entire family but I don't face any claim.",bangalore,Health Insurance,My company provided Star Health plan they give 100 of medical cover They are providing pre existing disease and also the service is very good They got tie up many minor and major hospitals Its covers entire family but I do not face any claim,positive,0.91,0,0.08,service,
Satisfactory,CARE HEALTH INSURANCE,5,"I got Religare health cover from my company around Rs. 5 lakhs its covers my entire family, they have pre existing cover and no claim bonus. I got the policy paper, twice I claimed it when I met with an accident. I got cash treatment and the process was very easy to approach.",bangalore,Health Insurance,I got Religare health cover from my company around Rs 5 lakhs its covers my entire family they have pre existing cover and no claim bonus I got the policy paper twice I claimed it when I met with an accident I got cash treatment and the process was very easy to approach,positive,0.89,0,0.11,process,
Good Service,HDFC ERGO GENERAL INSURANCE,4,"I have taken Health Insurance policy through HDFC Ergo company .This policy is for 2 years i have totally paid for 2years it is Rs.10,000.The agent gave all the information about the policy .Need to renew after 2 years ,cashless facility is also there and got my policy documents on time .The service was good to me so far.",mumbai,Health Insurance,I have taken Health Insurance policy through HDFC Ergo company This policy is for 2 years i have totally paid for 2years it is Rs10000The agent gave all the information about the policy Need to renew after 2 years cashless facility is also there and got my policy documents on time The service was good to me so far,positive,1,0,0,service,
BETTER,ROYAL SUNDARAM GENERAL INSURANCE,3,I have taken the ROYAL SUNDARAM GENERAL INSURANCE health insurance and using from last few months and also they have not given the policy hard copy also the card for th medical checkup. The medical coverage is 6L for the family. It has the disease coverage too.,kolkata,Health Insurance,I have taken the ROYAL SUNDARAM GENERAL INSURANCE health insurance and using from last few months and also they have not given the policy hard copy also the card for th medical checkup The medical coverage is 6L for the family It has the disease coverage too,negative,0.08,0.11,0.81,,
Excellent service,BHARTI AXA GENERAL INSURANCE,5,"I have taken my health insurance with Bharthi Axa insurance , they have given me good service, whenever i face issue they use to resolve soon, my experience with this insurance is good, the premium amount i use to pay on yearly basis, i use to pay through on line mode, their customer care service was good, they use to response me well, it has been just 2 years holding this insurance.",chennai,Health Insurance,I have taken my health insurance with Bharthi Axa insurance they have given me good service whenever i face issue they use to resolve soon my experience with this insurance is good the premium amount i use to pay on yearly basis i use to pay through on line mode their customer care service was good they use to response me well it has been just 2 years holding this insurance,positive,1,0,0,"customer care service, premium amount, service, insurance",
Need to update more plans and hospitals to be included,,4,"I took a health insurance from Star Health which was recommended by the family members and have paid aroud 15k to 17k per annum, this policy includes 3members. Till now no claims, the customer support is good in response. The medical coverage is 4L for myself and mother, for father is 1.5L which they could have done better.",chennai,Health Insurance,I took a health insurance from Star Health which was recommended by the family members and have paid aroud 15k to 17k per annum this policy includes 3members Till now no claims the customer support is good in response The medical coverage is 4L for myself and mother for father is 15L which they could have done better,positive,1,0,0,customer support,
Good Service,STAR HEALTH & ALLIED INSURANCE,4,I have Health Insurance which was taken through Star health insurance company through agent.This policy tenure is for  1year and each year need to renew every year .I am paying the premium through Online it is Rs.6000.The agent gave all the relevant details about the insurance policy .,mumbai,Health Insurance,I have Health Insurance which was taken through Star health insurance company through agentThis policy tenure is for 1year and each year need to renew every year I am paying the premium through Online it is Rs6000The agent gave all the relevant details about the insurance policy,neutral,0.43,0.57,0,,
Need to increase list of hospitals for cashless,UNITED INDIA INSURANCE,3,"I have a corporate policy with United India, I have added my parents also to it. The medical coverage is good but there is one problem, when I go for cashless to the hospitals it was not so easy. I never contacted the customer service. The claim experience was average. They have multiple capping for certain disease.",gurgaon,Health Insurance,I have a corporate policy with United India I have added my parents also to it The medical coverage is good but there is one problem when I go for cashless to the hospitals it was not so easy I never contacted the customer service The claim experience was average They have multiple capping for certain disease,negative,0.02,0,0.98,"medical coverage, claim experience",
Not satisfactory,ROYAL SUNDARAM GENERAL INSURANCE,1,"Royal Sundaram  is not upto the mark they are talking about the cash less, last time when I had fracture for that I approached for cash less but they didn't approve my claim, I didn't get any help from their end. Therefore I don't have idea to recommend them.",new delhi,Health Insurance,Royal Sundaram is not upto the mark they are talking about the cash less last time when I had fracture for that I approached for cash less but they did not approve my claim I did not get any help from their end Therefore I do not have idea to recommend them,negative,0,0,1,,Royal Sundaram
Good,HDFC ERGO GENERAL INSURANCE,5,I have taken a health insurance in HDFC ERGO GENERAL INSURANCE before 1 year ago.The policy is for 10 years. Now I am paying premium in the yearly package. While getting a policy my agent has given an information about the policy details and provided hard copy documents as well.  They have tie up with many hospitals.,hyderabad,Health Insurance,I have taken a health insurance in HDFC ERGO GENERAL INSURANCE before 1 year agoThe policy is for 10 years Now I am paying premium in the yearly package While getting a policy my agent has given an information about the policy details and provided hard copy documents as well They have tie up with many hospitals,neutral,0.34,0.59,0.07,,
Good,BAJAJ ALLIANZ GENERAL INSURANCE,4,I have taken a health insurance in BAJAJ ALLIANZ GENERAL INSURANCE before 1 year ago. Now I am paying premium in the yearly package. While getting a policy my agent has given an information about the policy details and provided hard copy documents as well.  I use to do payments through an online.,hyderabad,Health Insurance,I have taken a health insurance in BAJAJ ALLIANZ GENERAL INSURANCE before 1 year ago Now I am paying premium in the yearly package While getting a policy my agent has given an information about the policy details and provided hard copy documents as well I use to do payments through an online,neutral,0.3,0.67,0.03,,
GOOD,HDFC ERGO GENERAL INSURANCE,4,I have taken the health insurance policy with the HDFC ERGO GENERAL INSURANCE where i had no claim experience also the policy has the medical coverage for family and the premium paid was nominal added on that the IDV value is nominal with this policy.,kanpur,Health Insurance,I have taken the health insurance policy with the HDFC ERGO GENERAL INSURANCE where i had no claim experience also the policy has the medical coverage for family and the premium paid was nominal added on that the IDV value is nominal with this policy,neutral,0.07,0.78,0.15,,
Average service,CIGNA TTK HEALTH INSURANCE,3,"I have been using my health insurance with Cigna TTK from past two years, they have tie up with many hospital which is near to my location, their service was quite average, i use to pay premium on yearly basis through on line mode, whenever i face issue they have cleared it.",noida,Health Insurance,I have been using my health insurance with Cigna TTK from past two years they have tie up with many hospital which is near to my location their service was quite average i use to pay premium on yearly basis through on line mode whenever i face issue they have cleared it,neutral,0.2,0.73,0.07,service,
Good,UNITED INDIA INSURANCE,4,I have taken a health insurance in UNITED INDIA INSURANCE. The policy is for more than 10 years. Now I am paying premium in the yearly package. While getting a policy my agent has given an information about the policy details. I use to give amount to an agent. For this policy  is option for cashless treatment. The charges are applicable.,chennai,Health Insurance,I have taken a health insurance in UNITED INDIA INSURANCE The policy is for more than 10 years Now I am paying premium in the yearly package While getting a policy my agent has given an information about the policy details I use to give amount to an agent For this policy is option for cashless treatment The charges are applicable,neutral,0.15,0.84,0.01,,
Good service,HDFC GENERAL INSURANCE LIMITED,5,"I have taken a health insurance from HDFC general insurance from long time, This insurance covers me and my family, they have not charged me any hidden or additional charges, the premium amount i pay on yearly basis, they charged me up to 9300, my claim 70,000 so far i did not face any issue, they had support me well.",hyderabad,Health Insurance,I have taken a health insurance from HDFC general insurance from long time This insurance covers me and my family they have not charged me any hidden or additional charges the premium amount i pay on yearly basis they charged me up to 9300 my claim 70000 so far i did not face any issue they had support me well,positive,0.97,0.02,0.01,,
Good service,HDFC GENERAL INSURANCE LIMITED,4,"I have been using my Health insurance with HDFC Ergo , i have been using this insurance from long time, their service is good, like i got this health insurance through my office as they only had created this health insurance for me and i use to pay premium on monthly basis, i use to pay through on line .",chandigarh,Health Insurance,I have been using my Health insurance with HDFC Ergo i have been using this insurance from long time their service is good like i got this health insurance through my office as they only had created this health insurance for me and i use to pay premium on monthly basis i use to pay through on line,positive,0.99,0.01,0,service,
Good claim experience,ICICI LOMBARD GENERAL INSURANCE,5,"My health insurance was taken from ICICI Lombard and i have been renewing the policy for last 15 years. I have claim experience also which I'm very much satisfied with it. The coverage amount is convenient for me. Overall, I'm very much convenient with this.",hyderabad,Health Insurance,My health insurance was taken from ICICI Lombard and i have been renewing the policy for last 15 years I have claim experience also which I Am very much satisfied with it The coverage amount is convenient for me Overall I Am very much convenient with this,positive,1,0,0,coverage amount,
GOOD,STAR HEALTH & ALLIED INSURANCE,5,I am using the health insurance policy with the STAR HEALTH & ALLIED INSURANCE since from last 4 years. I had no claim with this policy added on that the medical coverage with this policy is satisfactory with this policy. It has the good coverage.,chennai,Health Insurance,I am using the health insurance policy with the STAR HEALTH ALLIED INSURANCE since from last 4 years I had no claim with this policy added on that the medical coverage with this policy is satisfactory with this policy It has the good coverage,positive,1,0,0,"coverage, medical coverage",
Satisfied,HDFC ERGO GENERAL INSURANCE,5,I do have a health insurance with HDFC ERGO and the coverage is good also they have more networks of hospitals for cashless treatment. It was taken 2 months ago. The medical coverage is better. I have paid around 17K to purchase the policy for myself including family members.,jaipur,Health Insurance,I do have a health insurance with HDFC ERGO and the coverage is good also they have more networks of hospitals for cashless treatment It was taken 2 months ago The medical coverage is better I have paid around 17K to purchase the policy for myself including family members,positive,1,0,0,"coverage, medical coverage",
Overall Good policy,UNITED INDIA INSURANCE,5,My employer has provided me a health insurance policy from United India insurance. I have a claim experience also. I have used the cashless facility and they have processed the claim on the same day. They have given me a 100% claim. Most of the hospitals are covered with their network.,hyderabad,Health Insurance,My employer has provided me a health insurance policy from United India insurance I have a claim experience also I have used the cashless facility and they have processed the claim on the same day They have given me a 100 claim Most of the hospitals are covered with their network,neutral,0.1,0.82,0.09,,
Good Service,APOLLO MUNICH,5,"I have taken Health insurance policy directly taken through Apollo Munich this is a  2years policy and  need to renew it after 2years ,The premium  is paid  through online policy documents received on time ,Even submitted the documents  from my end,There are cashless facility also .",new delhi,Health Insurance,I have taken Health insurance policy directly taken through Apollo Munich this is a 2years policy and need to renew it after 2years The premium is paid through online policy documents received on time Even submitted the documents from my endThere are cashless facility also,positive,0.46,0.44,0.1,,
Good coverage policy,STAR HEALTH & ALLIED INSURANCE,5,I have chosen the star health insurance. Almost 1200 hospitals covered in India. The coverage value is good. I do not have any claim experience. I have paid the premium amount of Rs. 1200 for my entire family. I have been renewing the policy for last 5 years. I won't get the maternity benefits from this policy since my coverage is less,bangalore,Health Insurance,I have chosen the star health insurance Almost 1200 hospitals covered in India The coverage value is good I do not have any claim experience I have paid the premium amount of Rs 1200 for my entire family I have been renewing the policy for last 5 years I will not get the maternity benefits from this policy since my coverage is less,positive,0.95,0.01,0.04,coverage value,
Medium,HDFC ERGO GENERAL INSURANCE,4,I have taken a health insurance in HDFC ERGO GENERAL INSURANCE before 1 year ago. The policy is for 3 years. Now I am paying premium in the monthly package. While getting a policy my agent has given an information about the policy details. I use to do payments through an online.,hyderabad,Health Insurance,I have taken a health insurance in HDFC ERGO GENERAL INSURANCE before 1 year ago The policy is for 3 years Now I am paying premium in the monthly package While getting a policy my agent has given an information about the policy details I use to do payments through an online,neutral,0.1,0.9,0,,
Yet to experience the policy,ICICI LOMBARD GENERAL INSURANCE,3,I have taken my health insurance policy from ICICI Lombard. The coverage amount is good and cashless is there in many hospital hence i opted this policy. Entire family has been covered in this policy. I do not have any claim experience so far.,bangalore,Health Insurance,I have taken my health insurance policy from ICICI Lombard The coverage amount is good and cashless is there in many hospital hence i opted this policy Entire family has been covered in this policy I do not have any claim experience so far,positive,0.94,0.04,0.02,coverage amount,
Hospital list is good ,ORIENTAL INSURANCE,5,My company has provided me a health insurance policy from Oriental. I never had a chance to speak with their customer care. My family people also covered in this policy. They have given me a coverage amount upto Rs. 50 lakhs. There are many good hospitals covered in this policy and they are providing the cashless treatment as well.,vadodara,Health Insurance,My company has provided me a health insurance policy from Oriental I never had a chance to speak with their customer care My family people also covered in this policy They have given me a coverage amount upto Rs 50 lakhs There are many good hospitals covered in this policy and they are providing the cashless treatment as well,positive,0.85,0.1,0.05,hospitals,
Good health insurance,,4,"5 years ago, bought my health insurance policy from HDFC Ergo. I had purchase a HDFC credit card along with that they have given me a health insurance from  HDFC ergo. This policy was taken for my entire family. Since the premium amount is high I'm unable to continue the policy.",chennai,Health Insurance,5 years ago bought my health insurance policy from HDFC Ergo I had purchase a HDFC credit card along with that they have given me a health insurance from HDFC ergo This policy was taken for my entire family Since the premium amount is high I Am unable to continue the policy,neutral,0.33,0.38,0.29,,
Cheating people,ICICI LOMBARD GENERAL INSURANCE,2,"Because the ICICI people are providing a two years health insurance with a reasonable rate hence i have chosen them. The customer care service people were misguided me regarding the coverage amount. I had got the insurance for three people initially told that Rs. 3 lakhs for each bit after purchase, they have said this Rs. 3 lakhs coverage for all the three members. They are providing the cashless treatment facility.",ghaziabad,Health Insurance,Because the ICICI people are providing a two years health insurance with a reasonable rate hence i have chosen them The customer care service people were misguided me regarding the coverage amount I had got the insurance for three people initially told that Rs 3 lakhs for each bit after purchase they have said this Rs 3 lakhs coverage for all the three members They are providing the cashless treatment facility,negative,0.22,0.02,0.76,,customer care service people
Excellent policy,HDFC ERGO GENERAL INSURANCE,4,My health insurance policy was taken from HDFC Ergo. There is a premium amount which is Rs. 6000 every year and it will cover upto Rs. 4 lakhs. Because of the benefis of the i have selected this company. I do not have any claim from this policy.,bangalore,Health Insurance,My health insurance policy was taken from HDFC Ergo There is a premium amount which is Rs 6000 every year and it will cover upto Rs 4 lakhs Because of the benefis of the i have selected this company I do not have any claim from this policy,neutral,0.39,0.55,0.06,,
Good,BAJAJ ALLIANZ GENERAL INSURANCE,4,I have taken a health insurance in BAJAJ ALLIANZ GENERAL INSURANCE before 2 years ago. The policy is for 10 years. Now I am paying premium in the quarterly packages. While getting a policy my agent has given an information about the policy details.The coverage up to myself and my family members as well.,pune,Health Insurance,I have taken a health insurance in BAJAJ ALLIANZ GENERAL INSURANCE before 2 years ago The policy is for 10 years Now I am paying premium in the quarterly packages While getting a policy my agent has given an information about the policy detailsThe coverage up to myself and my family members as well,positive,0.56,0.44,0.01,,
Value for money,ROYAL SUNDARAM GENERAL INSURANCE,5,"I took health policy from Royal Sundaram it got tie up with many hospitals in my area. There is a cashless benefits, if any accident happened and any part of my body like one finger, one eye, leg is paralyzed completely they will be providing Rs. 1 crore . I paid the 16,484 for four members with the sum assured Rs. 5 lakhs.",hyderabad,Health Insurance,I took health policy from Royal Sundaram it got tie up with many hospitals in my area There is a cashless benefits if any accident happened and any part of my body like one finger one eye leg is paralyzed completely they will be providing Rs 1 crore I paid the 16484 for four members with the sum assured Rs 5 lakhs,negative,0.03,0.01,0.96,,
Very good health insurance,ORIENTAL INSURANCE,5,Long back one of my friend was working in oriental and he was introduced about the health insurance benefits. Last 12 years i have been renewing the policy with the same company. My claim experience was very good and they have process the claim immediately since its a cashless. They have covered almost 90% of the medical expenses. Major hospitals has been covered in my area.,hyderabad,Health Insurance,Long back one of my friend was working in oriental and he was introduced about the health insurance benefits Last 12 years i have been renewing the policy with the same company My claim experience was very good and they have process the claim immediately since its a cashless They have covered almost 90 of the medical expenses Major hospitals has been covered in my area,positive,0.98,0.02,0,claim experience,
Excellent Service,HDFC ERGO GENERAL INSURANCE,5,I have taken a health insurance in HDFC  ERGO GENERAL INSURANCE. The policy is for life time. Now I am paying premium in the yearly package.  I came to know an information about the policy details and received a documents as well. The amount will get detect from credit card for the payment. Cashless treatment is applicable in this policy.,bangalore,Health Insurance,I have taken a health insurance in HDFC ERGO GENERAL INSURANCE The policy is for life time Now I am paying premium in the yearly package I came to know an information about the policy details and received a documents as well The amount will get detect from credit card for the payment Cashless treatment is applicable in this policy,neutral,0.28,0.69,0.03,,
Its Okay,STAR HEALTH & ALLIED INSURANCE,3,"My corporate company have issued  Star health policy. My mediclaim value is for Rs.2 lakhs its cover for me alone. They send list of hospitals details to me, hence they got tie up minor or major hospitals. Since I don't have any experience, I am not sure about the features.",chennai,Health Insurance,My corporate company have issued Star health policy My mediclaim value is for Rs2 lakhs its cover for me alone They send list of hospitals details to me hence they got tie up minor or major hospitals Since I do not have any experience I am not sure about the features,neutral,0.04,0.86,0.1,,
Better health cover,UNITED INDIA INSURANCE,5,"I have not claim anything with my United India health policy through my company id I got the insurance.  Total mediclaim is for Rs. 5 lakhs, there is no additional features provided. I got a medical card, the insurer got tie up with many hospitals across in India, its only covers me and parents.",bangalore,Health Insurance,I have not claim anything with my United India health policy through my company id I got the insurance Total mediclaim is for Rs 5 lakhs there is no additional features provided I got a medical card the insurer got tie up with many hospitals across in India its only covers me and parents,negative,0.21,0.18,0.62,,
Good for health,BAJAJ ALLIANZ GENERAL INSURANCE,3,"I got Rs. 10 lakhs of mediclaim from Bajaj Allianz it covers for four members in my family, its has the pre existing disease cover and they got tie up with many hospitals. I got a medical card on time but there was no additional features provided.",hyderabad,Health Insurance,I got Rs 10 lakhs of mediclaim from Bajaj Allianz it covers for four members in my family its has the pre existing disease cover and they got tie up with many hospitals I got a medical card on time but there was no additional features provided,neutral,0.06,0.61,0.33,,
Good,NEW INDIA ASSURANCE,4,I have taken a health insurance in NEW INDIA ASSURANCE before 3 years ago.While getting a policy my agent has given an information about the policy details and provided hard copy documents as well.  There is a cashless treatment is applicable.,coimbatore,Health Insurance,I have taken a health insurance in NEW INDIA ASSURANCE before 3 years agoWhile getting a policy my agent has given an information about the policy details and provided hard copy documents as well There is a cashless treatment is applicable,negative,0.01,0.04,0.95,,
Good Policy,NEW INDIA ASSURANCE,4,"My company pay Rs. 6000 to New India Assurance for providing health policy with the sum assured of Rs. 6 lakhs its covers my spouse and children. To take cover for my parents I need to pay extra Rs. 10,000.  I claimed my policy for the pharmacy purpose upto Rs. 6000. They are providing no claim features apart from the  dental and general check up .",chennai,Health Insurance,My company pay Rs 6000 to New India Assurance for providing health policy with the sum assured of Rs 6 lakhs its covers my spouse and children To take cover for my parents I need to pay extra Rs 10000 I claimed my policy for the pharmacy purpose upto Rs 6000 They are providing no claim features apart from the dental and general check up,neutral,0.32,0.41,0.27,,
Excellent Service,STAR HEALTH & ALLIED INSURANCE,5,I have taken Health Insurance policy through Star health insurance company.This is a 1 year policy and each year need to renew the policy .The policy documents will be shared on time .I have got all the details about the policy .The service is good to me so far.I am completely satisfied with the service .,thane,Health Insurance,I have taken Health Insurance policy through Star health insurance companyThis is a 1 year policy and each year need to renew the policy The policy documents will be shared on time I have got all the details about the policy The service is good to me so farI am completely satisfied with the service,positive,1,0,0,service,
Good,BAJAJ ALLIANZ GENERAL INSURANCE,4,"I have taken a health insurance in BAJAJ ALLIANZ GENERAL INSURANCE. The policy is for 10 years.I am paying premium in the yearly package with 
sufficient amount. I use to do payments through an online. They have tied up with many hospitals. I have claimed for my family member but the amount  was not sufficient.",mumbai,Health Insurance,I have taken a health insurance in BAJAJ ALLIANZ GENERAL INSURANCE The policy is for 10 yearsI am paying premium in the yearly package with sufficient amount I use to do payments through an online They have tied up with many hospitals I have claimed for my family member but the amount was not sufficient,negative,0.29,0.2,0.5,,
Good for medical benefits,ICICI LOMBARD GENERAL INSURANCE,4,"ICICI lombard gave me the medical value of  Rs. 2 lakhs its cover only for one person, they got tied more hospitals in my area. I have received the medical card, they are providing pre existing cover and they have some additional benefits but I didn't use it .",hyderabad,Health Insurance,ICICI lombard gave me the medical value of Rs 2 lakhs its cover only for one person they got tied more hospitals in my area I have received the medical card they are providing pre existing cover and they have some additional benefits but I did not use it,positive,0.71,0.19,0.1,,
Good Service,HDFC ERGO GENERAL INSURANCE,4,"I have taken  Health Insurance policy through  agent  came to office and taken this policy ,policy documents also received on time ,premium is paid through  debit card by  auto debit ,claim not done so far .This policy tenure is for 1 year and each year need to renew it .",coimbatore,Health Insurance,I have taken Health Insurance policy through agent came to office and taken this policy policy documents also received on time premium is paid through debit card by auto debit claim not done so far This policy tenure is for 1 year and each year need to renew it,neutral,0.19,0.61,0.2,,
Good claim settlement ,STAR HEALTH & ALLIED INSURANCE,5,"I personally took Star health policy, reason to chose the service is hassle free and they got tie up with many hospitals across in pan India. I paid the premium of Rs. 8000 for per annum it has sum assured Rs. 5 lakhs its cover me alone. They are providing no claim bonus and pre existing disease cover.",hyderabad,Health Insurance,I personally took Star health policy reason to chose the service is hassle free and they got tie up with many hospitals across in pan India I paid the premium of Rs 8000 for per annum it has sum assured Rs 5 lakhs its cover me alone They are providing no claim bonus and pre existing disease cover,negative,0.07,0.01,0.92,service,
Health Insurance,HDFC ERGO GENERAL INSURANCE,3,"I have recently purchased my health insurance policy form HDFC Ergo.  Initially there were hiccups on the Bank bazaar site. My overall experience had with Bank Bazaar has been satisfactory, I have used their services earlier as well. Pretty convenient and prompt as well as efficient in providing detailed information.",pune,Health Insurance,I have recently purchased my health insurance policy form HDFC Ergo Initially there were hiccups on the Bank bazaar site My overall experience had with Bank Bazaar has been satisfactory I have used their services earlier as well Pretty convenient and prompt as well as efficient in providing detailed information,positive,1,0,0,"Bank Bazaar, services",
Excellent policy,HDFC ERGO GENERAL INSURANCE,4,My health insurance policy was taken from HDFC Ergo. There is a premium amount which is Rs. 6000 every year and it will cover upto Rs. 4 lakhs. Because of the benefis of the i have selected this company. I do not have any claim from this policy.,bangalore,Health Insurance,My health insurance policy was taken from HDFC Ergo There is a premium amount which is Rs 6000 every year and it will cover upto Rs 4 lakhs Because of the benefis of the i have selected this company I do not have any claim from this policy,neutral,0.39,0.55,0.06,,
Its Good,ICICI LOMBARD GENERAL INSURANCE,4,"I got ICICI health policy from company, I have not used it yet it covers spouse and children but parents not covered with this corporate plan. I got the mediclaim value of Rs. 3 lakhs for one year term. I got medical card and I could see they got tie up with many hospitals.",bangalore,Health Insurance,I got ICICI health policy from company I have not used it yet it covers spouse and children but parents not covered with this corporate plan I got the mediclaim value of Rs 3 lakhs for one year term I got medical card and I could see they got tie up with many hospitals,neutral,0.26,0.56,0.19,,
Good for medical emergency,,4,"United insured customer support is great, I have corporate health insurance around Rs.5 lakhs its covers my parents too. The insurer gives cover for all minor and major diseases. They got tie up with many hospitals I got the medical card and paper.",hyderabad,Health Insurance,United insured customer support is great I have corporate health insurance around Rs5 lakhs its covers my parents too The insurer gives cover for all minor and major diseases They got tie up with many hospitals I got the medical card and paper,positive,1,0,0,customer support,
Good Service,STAR HEALTH & ALLIED INSURANCE,4,"I have taken star health insurance  through online through Friends since he is an agent  for health insurance ,it is having  good cashless facility is there ,I have not gone for any  claim so far.I have received the policy documents on time ,I have submitted the documents  through the agent.The service is good to me so far .",hyderabad,Health Insurance,I have taken star health insurance through online through Friends since he is an agent for health insurance it is having good cashless facility is there I have not gone for any claim so farI have received the policy documents on time I have submitted the documents through the agentThe service is good to me so far,positive,1,0,0,"facility, service",
Good medical protection,CARE HEALTH INSURANCE,5,"I have health cover with Religare for the sum assured of Rs. 5 lakhs its protects including my family member, there is no claim experience so far. The support is good, there is no additional feature given on yearly basis however they got tie up with hospital in my area. My policy has  pre existing disease cover.",pune,Health Insurance,I have health cover with Religare for the sum assured of Rs 5 lakhs its protects including my family member there is no claim experience so far The support is good there is no additional feature given on yearly basis however they got tie up with hospital in my area My policy has pre existing disease cover,positive,0.89,0.02,0.1,support,
Best plan,UNITED INDIA INSURANCE,5,I got a health insurance with United India Insurance which was offered by my company. The benefits are good and had a minor claims with them. The customer service is good. The process was easy for reimbursement. The medical coverage is 8L and the policy covers 2 members.,bangalore,Health Insurance,I got a health insurance with United India Insurance which was offered by my company The benefits are good and had a minor claims with them The customer service is good The process was easy for reimbursement The medical coverage is 8L and the policy covers 2 members,positive,1,0,0,"benefits, customer service, process",
Yet to experience the policy,CARE HEALTH INSURANCE,4,"I have bought my health insurance policy from religare. They company have provided the policy only for me. The given coverage value was upto Rs. 3 lakhs. I have not gone through hospital list so far. Since the company is paying the premium, I'm not sure about it.",bangalore,Health Insurance,I have bought my health insurance policy from religare They company have provided the policy only for me The given coverage value was upto Rs 3 lakhs I have not gone through hospital list so far Since the company is paying the premium I Am not sure about it,neutral,0.1,0.79,0.11,,
Better policy,HDFC ERGO GENERAL INSURANCE,5,"15 days before, i have purchased the health insurance policy from HDFC Ergo. Since i don't have any health insurance they have approached me hence i accepted the same. I paid the premium amount of Rs. 5000. Myself alone covered in this policy. They have are providing me a coverage amount of RS. 25 lakhs for the tenure period of 2 years. Still i have not received the hard copy of the documents.",hyderabad,Health Insurance,15 days before i have purchased the health insurance policy from HDFC Ergo Since i do not have any health insurance they have approached me hence i accepted the same I paid the premium amount of Rs 5000 Myself alone covered in this policy They have are providing me a coverage amount of RS 25 lakhs for the tenure period of 2 years Still i have not received the hard copy of the documents,negative,0.35,0.11,0.53,,
Good Service,STAR HEALTH & ALLIED INSURANCE,5,"I have taken Health Insurance through Star Health 1year policy which i have  directly applied ,There are cashless facility on this policy .I have not gone for  any claim ,policy documents received  on time ,I have submitted the documents as well .The service was good to me so far.",hyderabad,Health Insurance,I have taken Health Insurance through Star Health 1year policy which i have directly applied There are cashless facility on this policy I have not gone for any claim policy documents received on time I have submitted the documents as well The service was good to me so far,positive,1,0,0,service,
Good health insurance policy,ICICI LOMBARD GENERAL INSURANCE,5,My company has provided me a health insurance policy. I am paying the premium amount of RS. 8000. My self and my child have been covered in this policy. They have given me coverage value of Rs. 2 lakhs. I had a claim experience for that there is no cashless treatment facility. The hospital list fine.,vadodara,Health Insurance,My company has provided me a health insurance policy I am paying the premium amount of RS 8000 My self and my child have been covered in this policy They have given me coverage value of Rs 2 lakhs I had a claim experience for that there is no cashless treatment facility The hospital list fine,positive,0.6,0.07,0.33,,
Not satisfied policy,BAJAJ ALLIANZ GENERAL INSURANCE,1,The agent has given the health insurance policy from Bajaj Allianz. Renewing the policy is quite difficult and i need to take the new policy every year. They are providing the coverage amount of Rs. 50000. Myself alone covered in this policy. I pay the premium amount of Rs. 13000 every year. Most of the hospitals are not covered in this policy. I don' t have any claim experience so far.,bangalore,Health Insurance,The agent has given the health insurance policy from Bajaj Allianz Renewing the policy is quite difficult and i need to take the new policy every year They are providing the coverage amount of Rs 50000 Myself alone covered in this policy I pay the premium amount of Rs 13000 every year Most of the hospitals are not covered in this policy I don t have any claim experience so far,negative,0.02,0.01,0.97,,policy
Excellent Service,APOLLO MUNICH,5,I have taken a health insurance in  APOLLO MUNICH for more than a year. The policy is for 8 years for the amount of 5 lakhs. I am paying premium in the yearly package for the amount of 10-20 thousands. While getting a policy my agent has given an information about the policy details and provided hard copy documents. I used to do payments through an online.,new delhi,Health Insurance,I have taken a health insurance in APOLLO MUNICH for more than a year The policy is for 8 years for the amount of 5 lakhs I am paying premium in the yearly package for the amount of 1020 thousands While getting a policy my agent has given an information about the policy details and provided hard copy documents I used to do payments through an online,positive,0.58,0.37,0.05,,
Excellent Service,HDFC ERGO GENERAL INSURANCE,5,I have taken a health insurance in HDFC ERGO GENERAL INSURANCE.  I am paying premium in the annual package for the amount of 10 thousands. In this insurance is applicable for a cashless treatment. They have tied up with particular hospitals.,thane,Health Insurance,I have taken a health insurance in HDFC ERGO GENERAL INSURANCE I am paying premium in the annual package for the amount of 10 thousands In this insurance is applicable for a cashless treatment They have tied up with particular hospitals,neutral,0.18,0.67,0.15,,
Nice Policy,MAX BUPA,5,I have chosen my health insurance policy from Max Bupa. Me and my wife has been covered in this policy. I am paying the premium amount of Rs. 9000. There is a coverage amount of Rs. 5 lakhs. Recently i have taken this policy for the tax benefits purpose.,greater noida,Health Insurance,I have chosen my health insurance policy from Max Bupa Me and my wife has been covered in this policy I am paying the premium amount of Rs 9000 There is a coverage amount of Rs 5 lakhs Recently i have taken this policy for the tax benefits purpose,neutral,0.39,0.6,0.01,,
